[2026-05-16 18:16:16][cifar10_lira_none_split2_s42][INFO] TensorBoard writer initialized.
[2026-05-16 18:16:16][cifar10_lira_none_split2_s42][INFO] Running: cifar10_lira_none_split2_s42
[2026-05-16 18:16:16][cifar10_lira_none_split2_s42][INFO] Device: cuda
[2026-05-16 18:16:17][cifar10_lira_none_split2_s42][INFO] Smashed data shape: torch.Size([128, 4, 4])  (d=2048)
[2026-05-16 18:16:17][cifar10_lira_none_split2_s42][INFO] [Epoch 1] WARM-UP PHASE
[2026-05-16 18:17:00][cifar10_lira_none_split2_s42][INFO] [Epoch 022][TRAIN] loss=0.5626 | train_acc=0.8028 | val_acc=0.7811 | asr=0.0419 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:02][cifar10_lira_none_split2_s42][INFO] [Epoch 023][TRAIN] loss=0.5597 | train_acc=0.8034 | val_acc=0.7854 | asr=0.0406 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:04][cifar10_lira_none_split2_s42][INFO] [Epoch 024][TRAIN] loss=0.5384 | train_acc=0.8113 | val_acc=0.7884 | asr=0.0600 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:06][cifar10_lira_none_split2_s42][INFO] [Epoch 025][TRAIN] loss=0.5330 | train_acc=0.8127 | val_acc=0.7942 | asr=0.0647 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:08][cifar10_lira_none_split2_s42][INFO] [Epoch 026][TRAIN] loss=0.5307 | train_acc=0.8151 | val_acc=0.8039 | asr=0.0409 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:10][cifar10_lira_none_split2_s42][INFO] [Epoch 027][TRAIN] loss=0.5022 | train_acc=0.8222 | val_acc=0.7959 | asr=0.0237 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:12][cifar10_lira_none_split2_s42][INFO] [Epoch 028][TRAIN] loss=0.4979 | train_acc=0.8266 | val_acc=0.8052 | asr=0.0864 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:14][cifar10_lira_none_split2_s42][INFO] [Epoch 029][TRAIN] loss=0.4823 | train_acc=0.8316 | val_acc=0.8050 | asr=0.0192 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:16][cifar10_lira_none_split2_s42][INFO] [Epoch 030][TRAIN] loss=0.4718 | train_acc=0.8337 | val_acc=0.8151 | asr=0.0431 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:18][cifar10_lira_none_split2_s42][INFO] [Epoch 031][TRAIN] loss=0.4534 | train_acc=0.8409 | val_acc=0.8129 | asr=0.0464 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:20][cifar10_lira_none_split2_s42][INFO] [Epoch 032][TRAIN] loss=0.4582 | train_acc=0.8368 | val_acc=0.8076 | asr=0.0523 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:22][cifar10_lira_none_split2_s42][INFO] [Epoch 033][TRAIN] loss=0.4545 | train_acc=0.8398 | val_acc=0.8065 | asr=0.0452 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:24][cifar10_lira_none_split2_s42][INFO] [Epoch 034][TRAIN] loss=0.4507 | train_acc=0.8420 | val_acc=0.8039 | asr=0.0099 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:26][cifar10_lira_none_split2_s42][INFO] [Epoch 035][TRAIN] loss=0.4436 | train_acc=0.8425 | val_acc=0.8101 | asr=0.0621 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:28][cifar10_lira_none_split2_s42][INFO] [Epoch 036][TRAIN] loss=0.4294 | train_acc=0.8505 | val_acc=0.8131 | asr=0.0556 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:30][cifar10_lira_none_split2_s42][INFO] [Epoch 037][TRAIN] loss=0.4141 | train_acc=0.8537 | val_acc=0.8163 | asr=0.0593 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:32][cifar10_lira_none_split2_s42][INFO] [Epoch 038][TRAIN] loss=0.4252 | train_acc=0.8503 | val_acc=0.8196 | asr=0.0470 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:34][cifar10_lira_none_split2_s42][INFO] [Epoch 039][TRAIN] loss=0.4029 | train_acc=0.8565 | val_acc=0.8157 | asr=0.0611 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:36][cifar10_lira_none_split2_s42][INFO] [Epoch 040][TRAIN] loss=0.3857 | train_acc=0.8636 | val_acc=0.8184 | asr=0.0570 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:38][cifar10_lira_none_split2_s42][INFO] [Epoch 041][TRAIN] loss=0.3939 | train_acc=0.8614 | val_acc=0.8191 | asr=0.0933 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:40][cifar10_lira_none_split2_s42][INFO] [Epoch 042][TRAIN] loss=0.3871 | train_acc=0.8641 | val_acc=0.8182 | asr=0.1216 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:42][cifar10_lira_none_split2_s42][INFO] [Epoch 043][TRAIN] loss=0.3823 | train_acc=0.8637 | val_acc=0.8248 | asr=0.0678 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:44][cifar10_lira_none_split2_s42][INFO] [Epoch 044][TRAIN] loss=0.3840 | train_acc=0.8641 | val_acc=0.8157 | asr=0.0456 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:46][cifar10_lira_none_split2_s42][INFO] [Epoch 045][TRAIN] loss=0.3496 | train_acc=0.8761 | val_acc=0.8202 | asr=0.0437 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:48][cifar10_lira_none_split2_s42][INFO] [Epoch 046][TRAIN] loss=0.3520 | train_acc=0.8747 | val_acc=0.8354 | asr=0.0723 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:50][cifar10_lira_none_split2_s42][INFO] [Epoch 047][TRAIN] loss=0.3523 | train_acc=0.8740 | val_acc=0.8127 | asr=0.1140 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:52][cifar10_lira_none_split2_s42][INFO] [Epoch 048][TRAIN] loss=0.3328 | train_acc=0.8839 | val_acc=0.8274 | asr=0.0902 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:54][cifar10_lira_none_split2_s42][INFO] [Epoch 049][TRAIN] loss=0.3294 | train_acc=0.8850 | val_acc=0.8263 | asr=0.0422 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:56][cifar10_lira_none_split2_s42][INFO] [Epoch 050][TRAIN] loss=0.3369 | train_acc=0.8812 | val_acc=0.8327 | asr=0.0354 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:17:58][cifar10_lira_none_split2_s42][INFO] [Epoch 051][TRAIN] loss=0.3052 | train_acc=0.8926 | val_acc=0.8297 | asr=0.0513 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:00][cifar10_lira_none_split2_s42][INFO] [Epoch 052][TRAIN] loss=0.3051 | train_acc=0.8913 | val_acc=0.8363 | asr=0.0440 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:02][cifar10_lira_none_split2_s42][INFO] [Epoch 053][TRAIN] loss=0.3150 | train_acc=0.8881 | val_acc=0.8300 | asr=0.0937 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:04][cifar10_lira_none_split2_s42][INFO] [Epoch 054][TRAIN] loss=0.2988 | train_acc=0.8939 | val_acc=0.8323 | asr=0.0798 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:06][cifar10_lira_none_split2_s42][INFO] [Epoch 055][TRAIN] loss=0.3016 | train_acc=0.8930 | val_acc=0.8345 | asr=0.0899 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:08][cifar10_lira_none_split2_s42][INFO] [Epoch 056][TRAIN] loss=0.2750 | train_acc=0.9013 | val_acc=0.8249 | asr=0.0483 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:10][cifar10_lira_none_split2_s42][INFO] [Epoch 057][TRAIN] loss=0.2741 | train_acc=0.9016 | val_acc=0.8211 | asr=0.1046 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:12][cifar10_lira_none_split2_s42][INFO] [Epoch 058][TRAIN] loss=0.2860 | train_acc=0.8987 | val_acc=0.8313 | asr=0.0531 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:14][cifar10_lira_none_split2_s42][INFO] [Epoch 059][TRAIN] loss=0.2684 | train_acc=0.9046 | val_acc=0.8372 | asr=0.0564 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:16][cifar10_lira_none_split2_s42][INFO] [Epoch 060][TRAIN] loss=0.2552 | train_acc=0.9104 | val_acc=0.8387 | asr=0.0470 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:18:18][cifar10_lira_none_split2_s42][INFO] [Epoch 061][TRAIN] loss=0.2520 | train_acc=0.9115 | val_acc=0.8317 | asr=0.0591 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
