[2026-05-16 18:46:18][cifar10_blended_none_split2_s42][INFO] TensorBoard writer initialized.
[2026-05-16 18:46:18][cifar10_blended_none_split2_s42][INFO] Running: cifar10_blended_none_split2_s42
[2026-05-16 18:46:18][cifar10_blended_none_split2_s42][INFO] Device: cuda
[2026-05-16 18:46:18][cifar10_blended_none_split2_s42][INFO] Smashed data shape: torch.Size([128, 4, 4])  (d=2048)
[2026-05-16 18:46:18][cifar10_blended_none_split2_s42][INFO] [Epoch 1] WARM-UP PHASE
[2026-05-16 18:47:02][cifar10_blended_none_split2_s42][INFO] [Epoch 022][TRAIN] loss=0.8019 | train_acc=0.7327 | val_acc=0.7805 | asr=0.0381 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:04][cifar10_blended_none_split2_s42][INFO] [Epoch 023][TRAIN] loss=0.8303 | train_acc=0.7176 | val_acc=0.7692 | asr=0.0542 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:05][cifar10_blended_none_split2_s42][INFO] [Epoch 024][TRAIN] loss=0.7990 | train_acc=0.7320 | val_acc=0.7741 | asr=0.0240 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:07][cifar10_blended_none_split2_s42][INFO] [Epoch 025][TRAIN] loss=0.8078 | train_acc=0.7323 | val_acc=0.7798 | asr=0.0210 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:09][cifar10_blended_none_split2_s42][INFO] [Epoch 026][TRAIN] loss=0.8064 | train_acc=0.7257 | val_acc=0.8006 | asr=0.0143 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:11][cifar10_blended_none_split2_s42][INFO] [Epoch 027][TRAIN] loss=0.7597 | train_acc=0.7481 | val_acc=0.7858 | asr=0.0427 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:13][cifar10_blended_none_split2_s42][INFO] [Epoch 028][TRAIN] loss=0.7490 | train_acc=0.7489 | val_acc=0.7986 | asr=0.0227 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:15][cifar10_blended_none_split2_s42][INFO] [Epoch 029][TRAIN] loss=0.7214 | train_acc=0.7653 | val_acc=0.7986 | asr=0.0258 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:17][cifar10_blended_none_split2_s42][INFO] [Epoch 030][TRAIN] loss=0.7039 | train_acc=0.7674 | val_acc=0.7906 | asr=0.0247 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:19][cifar10_blended_none_split2_s42][INFO] [Epoch 031][TRAIN] loss=0.6838 | train_acc=0.7804 | val_acc=0.7990 | asr=0.0228 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:21][cifar10_blended_none_split2_s42][INFO] [Epoch 032][TRAIN] loss=0.6733 | train_acc=0.7796 | val_acc=0.8025 | asr=0.0278 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:23][cifar10_blended_none_split2_s42][INFO] [Epoch 033][TRAIN] loss=0.7317 | train_acc=0.7533 | val_acc=0.8107 | asr=0.0293 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:47:25][cifar10_blended_none_split2_s42][INFO] [Epoch 034][TRAIN] loss=0.7389 | train_acc=0.7505 | val_acc=0.8087 | asr=0.0211 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
