[2026-05-16 18:39:49][cifar10_badnets_none_split2_s42][INFO] TensorBoard writer initialized.
[2026-05-16 18:39:49][cifar10_badnets_none_split2_s42][INFO] Running: cifar10_badnets_none_split2_s42
[2026-05-16 18:39:49][cifar10_badnets_none_split2_s42][INFO] Device: cuda
[2026-05-16 18:39:50][cifar10_badnets_none_split2_s42][INFO] Smashed data shape: torch.Size([128, 4, 4])  (d=2048)
[2026-05-16 18:39:50][cifar10_badnets_none_split2_s42][INFO] [Epoch 1] WARM-UP PHASE
[2026-05-16 18:40:33][cifar10_badnets_none_split2_s42][INFO] [Epoch 022][TRAIN] loss=0.5059 | train_acc=0.8224 | val_acc=0.7635 | asr=0.1176 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:35][cifar10_badnets_none_split2_s42][INFO] [Epoch 023][TRAIN] loss=0.4794 | train_acc=0.8318 | val_acc=0.7706 | asr=0.0531 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:37][cifar10_badnets_none_split2_s42][INFO] [Epoch 024][TRAIN] loss=0.4832 | train_acc=0.8308 | val_acc=0.7900 | asr=0.0164 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:38][cifar10_badnets_none_split2_s42][INFO] [Epoch 025][TRAIN] loss=0.4654 | train_acc=0.8364 | val_acc=0.7897 | asr=0.0208 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:41][cifar10_badnets_none_split2_s42][INFO] [Epoch 026][TRAIN] loss=0.4448 | train_acc=0.8450 | val_acc=0.7925 | asr=0.0139 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:42][cifar10_badnets_none_split2_s42][INFO] [Epoch 027][TRAIN] loss=0.4517 | train_acc=0.8433 | val_acc=0.7845 | asr=0.0454 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:44][cifar10_badnets_none_split2_s42][INFO] [Epoch 028][TRAIN] loss=0.4397 | train_acc=0.8458 | val_acc=0.7896 | asr=0.0359 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:46][cifar10_badnets_none_split2_s42][INFO] [Epoch 029][TRAIN] loss=0.4430 | train_acc=0.8440 | val_acc=0.8022 | asr=0.0159 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:48][cifar10_badnets_none_split2_s42][INFO] [Epoch 030][TRAIN] loss=0.4347 | train_acc=0.8482 | val_acc=0.7976 | asr=0.0203 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:50][cifar10_badnets_none_split2_s42][INFO] [Epoch 031][TRAIN] loss=0.4226 | train_acc=0.8515 | val_acc=0.8064 | asr=0.0643 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:52][cifar10_badnets_none_split2_s42][INFO] [Epoch 032][TRAIN] loss=0.4120 | train_acc=0.8554 | val_acc=0.8095 | asr=0.0216 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:54][cifar10_badnets_none_split2_s42][INFO] [Epoch 033][TRAIN] loss=0.3893 | train_acc=0.8633 | val_acc=0.8117 | asr=0.0243 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:56][cifar10_badnets_none_split2_s42][INFO] [Epoch 034][TRAIN] loss=0.3758 | train_acc=0.8670 | val_acc=0.8062 | asr=0.0344 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:40:58][cifar10_badnets_none_split2_s42][INFO] [Epoch 035][TRAIN] loss=0.3836 | train_acc=0.8658 | val_acc=0.8066 | asr=0.0328 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:00][cifar10_badnets_none_split2_s42][INFO] [Epoch 036][TRAIN] loss=0.3689 | train_acc=0.8718 | val_acc=0.8175 | asr=0.0137 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:02][cifar10_badnets_none_split2_s42][INFO] [Epoch 037][TRAIN] loss=0.3665 | train_acc=0.8718 | val_acc=0.8221 | asr=0.0168 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:41:04][cifar10_badnets_none_split2_s42][INFO] [Epoch 038][TRAIN] loss=0.3426 | train_acc=0.8809 | val_acc=0.8231 | asr=0.0198 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
