[2026-05-16 18:27:03][cifar10_wanet_none_split2_s42][INFO] TensorBoard writer initialized.
[2026-05-16 18:27:03][cifar10_wanet_none_split2_s42][INFO] Running: cifar10_wanet_none_split2_s42
[2026-05-16 18:27:03][cifar10_wanet_none_split2_s42][INFO] Device: cuda
[2026-05-16 18:27:04][cifar10_wanet_none_split2_s42][INFO] Smashed data shape: torch.Size([128, 4, 4])  (d=2048)
[2026-05-16 18:27:04][cifar10_wanet_none_split2_s42][INFO] [Epoch 1] WARM-UP PHASE
[2026-05-16 18:27:46][cifar10_wanet_none_split2_s42][INFO] [Epoch 022][TRAIN] loss=0.4954 | train_acc=0.8264 | val_acc=0.7690 | asr=0.0190 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:27:49][cifar10_wanet_none_split2_s42][INFO] [Epoch 023][TRAIN] loss=0.4676 | train_acc=0.8362 | val_acc=0.7732 | asr=0.0151 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:27:50][cifar10_wanet_none_split2_s42][INFO] [Epoch 024][TRAIN] loss=0.4653 | train_acc=0.8369 | val_acc=0.7995 | asr=0.0120 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:27:52][cifar10_wanet_none_split2_s42][INFO] [Epoch 025][TRAIN] loss=0.4587 | train_acc=0.8407 | val_acc=0.7873 | asr=0.0636 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:27:54][cifar10_wanet_none_split2_s42][INFO] [Epoch 026][TRAIN] loss=0.4392 | train_acc=0.8448 | val_acc=0.7956 | asr=0.0210 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:27:56][cifar10_wanet_none_split2_s42][INFO] [Epoch 027][TRAIN] loss=0.4412 | train_acc=0.8441 | val_acc=0.7923 | asr=0.0289 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:27:58][cifar10_wanet_none_split2_s42][INFO] [Epoch 028][TRAIN] loss=0.4275 | train_acc=0.8492 | val_acc=0.8048 | asr=0.0352 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:00][cifar10_wanet_none_split2_s42][INFO] [Epoch 029][TRAIN] loss=0.4254 | train_acc=0.8501 | val_acc=0.8065 | asr=0.0118 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:02][cifar10_wanet_none_split2_s42][INFO] [Epoch 030][TRAIN] loss=0.4186 | train_acc=0.8533 | val_acc=0.7855 | asr=0.0381 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:04][cifar10_wanet_none_split2_s42][INFO] [Epoch 031][TRAIN] loss=0.4114 | train_acc=0.8556 | val_acc=0.8108 | asr=0.0183 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:06][cifar10_wanet_none_split2_s42][INFO] [Epoch 032][TRAIN] loss=0.3979 | train_acc=0.8598 | val_acc=0.8136 | asr=0.0721 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:08][cifar10_wanet_none_split2_s42][INFO] [Epoch 033][TRAIN] loss=0.3769 | train_acc=0.8667 | val_acc=0.8138 | asr=0.0739 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:10][cifar10_wanet_none_split2_s42][INFO] [Epoch 034][TRAIN] loss=0.3655 | train_acc=0.8722 | val_acc=0.7905 | asr=0.0852 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:12][cifar10_wanet_none_split2_s42][INFO] [Epoch 035][TRAIN] loss=0.3697 | train_acc=0.8692 | val_acc=0.8031 | asr=0.0259 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:14][cifar10_wanet_none_split2_s42][INFO] [Epoch 036][TRAIN] loss=0.3600 | train_acc=0.8741 | val_acc=0.8165 | asr=0.0348 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:16][cifar10_wanet_none_split2_s42][INFO] [Epoch 037][TRAIN] loss=0.3528 | train_acc=0.8784 | val_acc=0.8116 | asr=0.0243 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:18][cifar10_wanet_none_split2_s42][INFO] [Epoch 038][TRAIN] loss=0.3341 | train_acc=0.8816 | val_acc=0.8140 | asr=0.0736 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:20][cifar10_wanet_none_split2_s42][INFO] [Epoch 039][TRAIN] loss=0.3353 | train_acc=0.8819 | val_acc=0.8022 | asr=0.0204 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:22][cifar10_wanet_none_split2_s42][INFO] [Epoch 040][TRAIN] loss=0.3378 | train_acc=0.8809 | val_acc=0.8211 | asr=0.0138 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:24][cifar10_wanet_none_split2_s42][INFO] [Epoch 041][TRAIN] loss=0.3168 | train_acc=0.8878 | val_acc=0.8118 | asr=0.0203 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:26][cifar10_wanet_none_split2_s42][INFO] [Epoch 042][TRAIN] loss=0.3087 | train_acc=0.8907 | val_acc=0.8028 | asr=0.1488 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:28][cifar10_wanet_none_split2_s42][INFO] [Epoch 043][TRAIN] loss=0.3050 | train_acc=0.8938 | val_acc=0.8126 | asr=0.0147 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:30][cifar10_wanet_none_split2_s42][INFO] [Epoch 044][TRAIN] loss=0.2954 | train_acc=0.8943 | val_acc=0.8205 | asr=0.0221 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:32][cifar10_wanet_none_split2_s42][INFO] [Epoch 045][TRAIN] loss=0.2986 | train_acc=0.8940 | val_acc=0.8225 | asr=0.0187 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:34][cifar10_wanet_none_split2_s42][INFO] [Epoch 046][TRAIN] loss=0.2924 | train_acc=0.8964 | val_acc=0.8270 | asr=0.0293 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:36][cifar10_wanet_none_split2_s42][INFO] [Epoch 047][TRAIN] loss=0.2770 | train_acc=0.9024 | val_acc=0.8163 | asr=0.0148 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:38][cifar10_wanet_none_split2_s42][INFO] [Epoch 048][TRAIN] loss=0.2809 | train_acc=0.9018 | val_acc=0.8166 | asr=0.0506 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:40][cifar10_wanet_none_split2_s42][INFO] [Epoch 049][TRAIN] loss=0.2794 | train_acc=0.9010 | val_acc=0.8211 | asr=0.0614 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:43][cifar10_wanet_none_split2_s42][INFO] [Epoch 050][TRAIN] loss=0.2545 | train_acc=0.9099 | val_acc=0.8298 | asr=0.0614 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:45][cifar10_wanet_none_split2_s42][INFO] [Epoch 051][TRAIN] loss=0.2657 | train_acc=0.9050 | val_acc=0.8255 | asr=0.0502 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:47][cifar10_wanet_none_split2_s42][INFO] [Epoch 052][TRAIN] loss=0.2538 | train_acc=0.9101 | val_acc=0.8306 | asr=0.0371 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:49][cifar10_wanet_none_split2_s42][INFO] [Epoch 053][TRAIN] loss=0.2409 | train_acc=0.9150 | val_acc=0.8260 | asr=0.0454 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:51][cifar10_wanet_none_split2_s42][INFO] [Epoch 054][TRAIN] loss=0.2306 | train_acc=0.9180 | val_acc=0.8258 | asr=0.0701 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:53][cifar10_wanet_none_split2_s42][INFO] [Epoch 055][TRAIN] loss=0.2188 | train_acc=0.9220 | val_acc=0.8367 | asr=0.0314 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:55][cifar10_wanet_none_split2_s42][INFO] [Epoch 056][TRAIN] loss=0.2271 | train_acc=0.9193 | val_acc=0.8281 | asr=0.0363 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:57][cifar10_wanet_none_split2_s42][INFO] [Epoch 057][TRAIN] loss=0.2212 | train_acc=0.9213 | val_acc=0.8071 | asr=0.0809 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:28:59][cifar10_wanet_none_split2_s42][INFO] [Epoch 058][TRAIN] loss=0.1954 | train_acc=0.9305 | val_acc=0.8152 | asr=0.1039 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:01][cifar10_wanet_none_split2_s42][INFO] [Epoch 059][TRAIN] loss=0.1997 | train_acc=0.9285 | val_acc=0.8358 | asr=0.0537 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:03][cifar10_wanet_none_split2_s42][INFO] [Epoch 060][TRAIN] loss=0.1979 | train_acc=0.9290 | val_acc=0.8371 | asr=0.1784 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:05][cifar10_wanet_none_split2_s42][INFO] [Epoch 061][TRAIN] loss=0.1894 | train_acc=0.9321 | val_acc=0.8146 | asr=0.1988 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:07][cifar10_wanet_none_split2_s42][INFO] [Epoch 062][TRAIN] loss=0.1866 | train_acc=0.9349 | val_acc=0.8246 | asr=0.0479 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:09][cifar10_wanet_none_split2_s42][INFO] [Epoch 063][TRAIN] loss=0.1751 | train_acc=0.9379 | val_acc=0.8298 | asr=0.1401 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:11][cifar10_wanet_none_split2_s42][INFO] [Epoch 064][TRAIN] loss=0.1677 | train_acc=0.9399 | val_acc=0.8365 | asr=0.1291 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
[2026-05-16 18:29:13][cifar10_wanet_none_split2_s42][INFO] [Epoch 065][TRAIN] loss=0.1629 | train_acc=0.9418 | val_acc=0.8335 | asr=0.0374 | aas_mean=0.0000 | precision=0.0000 | recall=0.0000 | f1=0.0000
